Date,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Ticker
2011-08-09 10:01:02,-0.5622569939434088,-0.5220162834260473,-0.07852793838013439,-0.9112717595098564,-0.07721799979439645,-0.7130104123626191,-0.13751286093011322,-0.7772372451464165,-0.8192645697704108,-0.9380813876392412,-1.0309924352359041,-0.2240938669727163,-0.13248215460909085,-0.169199360266808,2.2129997433125674,1.5839124723217577,-0.3866759101374787,-0.3703775683790301,-0.43082911852231137,0.3485939460552416,-0.11235908735952603,-0.4015468840090421,-0.13235965830058455,-0.2658405144653772,-0.1029491038035498,-0.4044966742726838,0.8563012041846484,-0.3372693507715445,-0.4204406489112363,-0.03899268686738338,0.061073170611080724,0.13795211775117205,-0.5011126926556763,-0.5402661786418844,-0.5328147631479704,0.13490981397926033,0.10202116879498613,-0.6193463990106969,-0.4037704896566828,-0.2683601488419401,-0.6166840183398404,PGR
2007-04-12 05:02:55,-0.5575177515653272,-0.5256101008413073,-0.05979386681516755,-0.3660942992198085,-0.012808072439573541,-0.5998343741829599,-0.09724603724506713,-0.6645136355473247,-0.5456134237200102,-0.7644211615690241,-0.7869312104303977,0.47771631074299603,-0.09508995272062863,-0.35883575947363866,0.6773650168112879,0.42091968553112974,-0.4709699718784946,-0.4871301288068001,-0.4692717091412213,0.02004509401201217,-0.16697740161623945,-0.4331289521388183,-0.2403903536129456,-0.2738103920103825,-0.14156522844642264,-0.2508173970017969,0.04324750025159466,-0.4931493846606302,-0.3948406556732357,-1.4290802177895965,-0.11224903052408576,-0.14629621071273674,-0.5403859757540862,-0.5433496668004782,-0.5384484698265715,0.2496861884505411,0.09431603042368207,-0.5006034434260918,0.5502009593821985,0.04421961763026675,-0.501209898189094,COG
2007-02-22 07:08:29,-0.563379446085586,-0.5235703666326462,-0.06261499759200961,-0.4370641461214716,-0.01175217199113382,-0.6101231049265652,-0.10168723103385896,-0.6578828349826722,-0.5320836222406442,-0.7644211615690241,-0.7869312104303977,0.47771631074299603,-0.09508995272062863,-0.35883575947363866,0.6773650168112879,0.42091968553112974,-0.4709699718784946,-0.4871301288068001,-0.4692717091412213,0.02004509401201217,-0.16697740161623945,-0.4331289521388183,-0.2403903536129456,-0.2738103920103825,-0.14156522844642264,-0.2508173970017969,0.04772749717276378,-0.4931493846606302,-0.3948406556732357,-1.4290802177895965,-0.16622217210565066,-0.16162332646324154,-0.5399859413950718,-0.5436585481704237,-0.5384484698265715,0.17815888262061255,0.03010654399614783,-0.5006034434260918,0.5502009593821985,0.04421961763026675,-0.501209898189094,MDLZ
2009-02-02 21:45:14,-0.5817128310744802,-0.5424136255126579,-0.10356547402460772,-0.6972869180942362,-0.09305650652099223,-0.7438766045934352,-0.13307166714132138,-0.8004450471227001,-0.9352498840652976,-0.6191780634012063,-0.7200532235619851,1.2832422782689121,-0.031408692780091736,-0.17089138030091153,2.2545660496328868,2.2961952517748414,-0.5005089165911584,-0.3275402980062511,-0.2993156346797664,1.588865862518433,0.4322984039713873,-0.3407663898303903,0.09390205548667804,-0.2681128415951836,-0.14165574639454584,-0.2175894451594432,0.499199287162394,-0.2537258031970018,-0.24598688770807126,-0.22921519109884395,-0.2253645723175627,-0.03854194240615698,-0.4671681555323897,-0.5418372131959175,-0.5357742773813169,0.12659268539438487,0.09688440988078367,-0.6105661100414127,-0.6941096263206902,-0.2891987999400871,-0.5997025300823777,TEL
2007-01-26 10:31:30,-0.572857930841749,-0.530952261863991,-0.06741973594631875,-0.15641066064671305,-0.0159757737848927,-0.627270989499241,-0.10642450440857028,-0.6777752366766296,-0.5814019308589781,-0.7644211615690241,-0.7869312104303977,0.47771631074299603,-0.09508995272062863,-0.35883575947363866,0.6773650168112879,0.42091968553112974,-0.4709699718784946,-0.4871301288068001,-0.4692717091412213,0.02004509401201217,-0.16697740161623945,-0.4331289521388183,-0.2403903536129456,-0.2738103920103825,-0.14156522844642264,-0.2508173970017969,0.04772749717276378,-0.4931493846606302,-0.3948406556732357,-1.502242719417081,-0.15557958080787726,-0.1546564556675576,-0.5341836412327909,-0.5436585481704237,-0.5384484698265715,0.2496861884505411,0.053221959110060314,-0.4997672254290171,0.8820171155696354,0.04421961763026675,-0.5156441632079373,NOC
2006-09-02 12:04:58,-0.5679939715589811,-0.5258043612421321,-0.06565652921079247,-0.5209376015507097,-0.023367076923970744,-0.6066935280120301,-0.1007989922761006,-0.6512520344180197,-0.5433220863726982,-0.7244266852619439,-0.7487152179341617,0.5503173636101386,-0.08831852867691242,-0.369768812001692,0.5860751219465303,0.8917506753391001,-0.4709699718784946,-0.4879700752846977,-0.4693296459399648,0.03373462951381335,-0.2734678579044684,-0.4383282416917287,-0.259532518508882,-0.2720344650708421,-0.1414659506968682,-0.22411636427133405,0.0063594139242242175,-0.5046671871646571,-0.3844323410617469,-1.2827552145346264,-0.13094958380445892,-0.14459319785156946,-0.5460787169567812,-0.5437757100693685,-0.5385603607238625,0.2505179013090286,0.10715792770918894,-0.5524489592447221,0.1769077836713318,-0.10165094005676306,-0.5343238002911462,ABC
2013-05-25 11:43:44,-0.5373136130061377,-0.489963317289945,-0.07306199750000288,-0.6338441761669918,-0.009640371094254377,-0.6992921047044786,-0.13277558755540192,-0.7341370414761755,-0.7537977884186404,-0.9022968562065904,-1.083973697560231,-0.4989407099697564,-0.14169328290385186,-0.17427542036911853,2.1643089889515448,-0.7742666732121798,-0.42846270997490543,-0.3392995486968179,-0.4410198964907731,0.4690618584710925,-0.0821511928823493,-0.3512334808044047,0.05575019742418883,-0.23836601371408234,-0.06201163178138891,-0.4104302371016756,0.9914247816745704,-0.2975352244860912,-0.5411503341669349,0.7804273313604475,0.03629113658912268,0.012393624077844063,-0.5397978171289407,-0.5415762616937222,-0.532943437679855,0.03427255810226777,0.2535555567639671,-0.4893145004655836,0.42576990081190935,0.0233809665321197,-0.4587561775454372,ALL
2008-10-29 19:25:53,-0.4607374335287153,-0.38797660685689206,-0.06755197645148323,-0.4897538809424033,-0.10467141145382916,-0.3220386441056145,-0.11264217571287885,-0.18046519432769484,-0.4491590325284015,0.1091423998750974,0.5037270816015675,-0.4453542185678177,-0.10514750902085414,-0.3974919094835417,-0.3465741456777885,0.14325012743924967,-0.4457537995628061,-0.3283802444841488,-0.3511538230292126,-0.0245827917238599,-0.1749107880445889,-0.3853942595286881,-0.2435034392534612,-0.12681540915995276,-0.13943951663243315,-0.5753832837476467,0.047835885069146065,-0.3413446457751807,-0.2534719528158191,-0.170685189796856,-0.14311710639818467,-0.0020014791795493103,-0.16235999352913988,-0.4332015051697417,-0.4148258119546255,0.7428919135336532,-0.1805005714861646,-0.3651361278999931,-0.8185406848909789,-0.2266828466456458,-0.2549783184558845,XEL
2008-01-22 19:43:06,-0.4564970587693792,-0.3973011060964854,-0.0573694575538189,-0.031675778213487084,-0.05398818992872263,-0.23972879815677145,-0.11293825529879832,-0.1207879892458226,-0.3423390676227627,0.11861477584256395,0.2883278511682382,-0.6441428157040416,-0.12122964112468013,-0.4145422652118154,-0.4499207987652755,-0.4603793466735329,-0.3751485170788782,-0.3770971402022111,-0.3923194431890669,-0.2099391024182484,-0.08276145337683773,-0.3597974643285983,-0.21184269593077049,-0.1474729285218286,-0.13983370769684056,-0.3362607017392785,0.017667956705374112,-0.346438764529726,-0.2904764850638368,-0.112155188494868,-0.2610932716743733,-0.2512637307010428,-0.22216765294099336,-0.4193764010942501,-0.3993457063144176,0.21808109982801446,-0.008419147860372723,-0.06033466796627102,0.25986182271819114,0.10673557092470808,0.3083825544854412,MRK
2007-01-14 23:56:03,-0.4956581668408949,-0.421972177001243,-0.06455452500108852,-0.1768413741487071,-0.08883290472723336,-0.2980316057038686,-0.12034024494678475,-0.17051899348071606,-0.36165176812153493,0.05546560272612129,0.1537033321474076,-0.7219296580616945,-0.11744561004142695,-0.42052941302479707,-0.4751725406373558,-0.041862911288670236,-0.29986023116489385,-0.3989357486275494,-0.3938440957875801,-0.2920763154290558,0.148832404281517,-0.4149875803734015,-0.30609633138723263,-0.16606469594751688,-0.14010526154121009,-0.6525196005245396,-0.019509164012349083,-0.4289634883533596,-0.3692644528686329,0.1658623176895745,-0.3760332576903257,-0.4088698300345172,-0.3377934399139892,-0.4115212283240844,-0.3907692690370635,-0.4830528398769832,-0.05464997808819731,-0.1824224955391748,0.09395374462447252,-0.08081228895861592,-0.2978565763059779,TXT
